date,description,amount,type
2024-11-01,DIRECT DEPOSIT - ACME CORP,5000.00,credit
2024-11-01,RENT PAYMENT - APT 4B,-1800.00,debit
2024-11-02,STARBUCKS #1234,-6.50,debit
2024-11-02,UBER TRIP,-24.50,debit
2024-11-03,WALMART GROCERY,-89.34,debit
2024-11-03,NETFLIX SUBSCRIPTION,-15.99,debit
2024-11-04,CHECKCARD AMAZON,-67.89,debit
2024-11-04,STARBUCKS #1234,-7.25,debit
2024-11-05,CHIPOTLE MEXICAN GRILL,-12.45,debit
2024-11-05,VENMO PAYMENT RECEIVED,50.00,credit
2024-11-06,UBER EATS,-34.67,debit
2024-11-06,AT&T WIRELESS,-85.00,debit
2024-11-07,SPOTIFY PREMIUM,-10.99,debit
2024-11-07,SHELL GAS STATION,-45.00,debit
2024-11-08,COSTCO WHOLESALE,-156.78,debit
2024-11-08,STARBUCKS #1234,-6.50,debit
2024-11-09,TARGET,-34.56,debit
2024-11-09,DOORDASH,-28.90,debit
2024-11-10,ELECTRIC COMPANY,-120.00,debit
2024-11-10,INTERNET - COMCAST,-79.99,debit
2024-11-11,WHOLE FOODS MARKET,-67.45,debit
2024-11-11,UBER TRIP,-18.75,debit
2024-11-12,STARBUCKS #1234,-6.50,debit
2024-11-12,HBO MAX,-15.99,debit
2024-11-13,CHEESECAKE FACTORY,-78.90,debit
2024-11-13,AUDIBLE MEMBERSHIP,-14.95,debit
2024-11-14,AMAZON PRIME,-14.99,debit
2024-11-14,TRADER JOES,-54.32,debit
2024-11-15,GYM MEMBERSHIP,-49.99,debit
2024-11-15,STARBUCKS #1234,-7.25,debit
2024-11-16,UBER TRIP,-15.50,debit
2024-11-16,CVS PHARMACY,-23.45,debit
2024-11-17,DOORDASH,-31.20,debit
2024-11-17,APPLE.COM/BILL,-2.99,debit
2024-11-18,STARBUCKS #1234,-6.50,debit
2024-11-18,ZARA,-89.00,debit
2024-11-19,UBER EATS,-27.80,debit
2024-11-19,HOME DEPOT,-45.67,debit
2024-11-20,STARBUCKS #1234,-6.50,debit
2024-11-20,PETCO,-34.56,debit
2024-11-21,MCDONALD'S,-8.99,debit
2024-11-21,VENMO PAYMENT,-25.00,debit
2024-11-22,STARBUCKS #1234,-7.25,debit
2024-11-22,UBER TRIP,-22.00,debit
2024-11-23,KROGER,-78.90,debit
2024-11-23,NORDSTROM,-125.00,debit
2024-11-24,STARBUCKS #1234,-6.50,debit
2024-11-24,UBER EATS,-29.99,debit
2024-11-25,INTEREST PAYMENT,0.23,credit
2024-11-25,CAR INSURANCE - GEICO,-145.00,debit
2024-11-26,STARBUCKS #1234,-6.50,debit
2024-11-26,STUDENT LOAN PAYMENT,-350.00,debit
2024-11-27,THANKSGIVING GROCERY - SAFEWAY,-89.45,debit
2024-11-28,STARBUCKS #1234,-7.25,debit
2024-11-28,UBER TRIP,-19.50,debit
2024-11-29,BLACK FRIDAY - BEST BUY,-299.99,debit
2024-11-29,STARBUCKS #1234,-6.50,debit
2024-11-30,SAVINGS TRANSFER,-500.00,debit
